"dataset","filename","epsilon","capped","cost_add","cost_delete","cost_environment","cost_wait","type"
"Carrara","results/Carrara/Fri_18_Nov_2022_20_08/eps1-0e-5_uncapped_adjacency_df.csv",1e-05,FALSE,NA,NA,NA,NA,"adjacency"
"Carrara","results/Carrara/Fri_18_Nov_2022_20_08/eps1-0e-5_uncapped_assemblage.csv",1e-05,FALSE,NA,NA,NA,NA,"assemblage"
"Maynard","results/Maynard/Fri_18_Nov_2022_20_08/eps0-001_capped_2_adjacency_df.csv",0.001,TRUE,NA,NA,NA,NA,"adjacency"
"Maynard","results/Maynard/Fri_18_Nov_2022_20_08/eps0-001_capped_2_assemblage.csv",0.001,TRUE,NA,NA,NA,NA,"assemblage"
"Maynard","results/Maynard/Fri_18_Nov_2022_20_08/eps0-001_uncapped_adjacency_df.csv",0.001,FALSE,NA,NA,NA,NA,"adjacency"
"Maynard","results/Maynard/Fri_18_Nov_2022_20_08/eps0-001_uncapped_assemblage.csv",0.001,FALSE,NA,NA,NA,NA,"assemblage"
"Maynard","results/Maynard/Fri_18_Nov_2022_20_08/eps0-1_capped_2_adjacency_df.csv",0.1,TRUE,NA,NA,NA,NA,"adjacency"
"Maynard","results/Maynard/Fri_18_Nov_2022_20_08/eps0-1_capped_2_assemblage.csv",0.1,TRUE,NA,NA,NA,NA,"assemblage"
"Maynard","results/Maynard/Fri_18_Nov_2022_20_08/eps0-1_uncapped_adjacency_df.csv",0.1,FALSE,NA,NA,NA,NA,"adjacency"
"Maynard","results/Maynard/Fri_18_Nov_2022_20_08/eps0-1_uncapped_assemblage.csv",0.1,FALSE,NA,NA,NA,NA,"assemblage"
"Maynard","results/Maynard/Fri_18_Nov_2022_20_08/eps1-0e-5_capped_2_adjacency_df.csv",1e-05,TRUE,NA,NA,NA,NA,"adjacency"
"Maynard","results/Maynard/Fri_18_Nov_2022_20_08/eps1-0e-5_capped_2_assemblage.csv",1e-05,TRUE,NA,NA,NA,NA,"assemblage"
"Maynard","results/Maynard/Fri_18_Nov_2022_20_08/eps1-0e-5_uncapped_adjacency_df.csv",1e-05,FALSE,NA,NA,NA,NA,"adjacency"
"Maynard","results/Maynard/Fri_18_Nov_2022_20_08/eps1-0e-5_uncapped_assemblage.csv",1e-05,FALSE,NA,NA,NA,NA,"assemblage"
