node,intermediate_visits,in_degree,out_degree
|1,0,0,66
1|1,19,9,45
2|1,3,9,48
1*2|1,19,18,31
3|1,0,9,44
1*3|1,5,18,27
2*3|1,0,18,27
1*2*3|1,11,30,17
4|1,5,9,43
1*4|1,6,19,26
2*4|1,0,18,28
1*2*4|1,5,30,17
3*4|1,0,19,24
1*3*4|1,3,32,13
2*3*4|1,4,31,15
1*2*3*4|1,0,44,8
5|1,0,9,43
1*5|1,7,18,24
2*5|1,8,18,32
1*2*5|1,6,28,19
3*5|1,0,18,22
1*3*5|1,3,30,12
2*3*5|1,20,29,17
1*2*3*5|1,0,38,9
4*5|1,5,18,20
1*4*5|1,1,31,11
2*4*5|1,1,28,16
1*2*4*5|1,0,36,9
3*4*5|1,1,31,9
1*3*4*5|1,0,44,5
2*3*4*5|1,3,38,7
1*2*3*4*5|1,1,46,4
|2,0,0,66
1|2,358,33,43
2|2,5,9,44
3|2,878,63,44
4|2,724,61,30
3*4|2,1477,117,26
5|2,2,9,43
2*5|2,12,18,32
|3,0,0,66
1|3,15,9,45
2|3,4,9,49
1*2|3,12,18,31
3|3,0,9,44
1*3|3,14,18,27
2*3|3,2,18,27
1*2*3|3,6,30,17
4|3,788,10,43
1*4|3,15,18,26
2*4|3,27,19,29
1*2*4|3,31,30,27
3*4|3,20,19,24
1*3*4|3,3,31,13
2*3*4|3,0,30,15
1*2*3*4|3,0,43,8
5|3,0,9,43
1*5|3,18,33,24
2*5|3,3,18,32
3*5|3,0,18,22
1*3*5|3,10,53,12
2*3*5|3,2,29,16
4*5|3,16,33,20
1*4*5|3,4,50,11
3*4*5|3,9,53,9
1*3*4*5|3,4,71,5
|4,0,0,66
1|4,15,9,45
2|4,5,9,48
1*2|4,22,20,31
3|4,0,9,44
1*3|4,14,18,27
2*3|4,3,18,27
1*2*3|4,12,32,17
4|4,74,10,43
1*4|4,10,19,26
2*4|4,155,20,29
1*2*4|4,4,29,17
3*4|4,1,18,24
1*3*4|4,1,32,13
2*3*4|4,6,32,15
1*2*3*4|4,2,45,8
5|4,61,18,43
1*5|4,19,28,24
3*5|4,20,34,22
1*3*5|4,12,48,12
4*5|4,4,31,20
1*4*5|4,5,50,11
3*4*5|4,2,46,9
1*3*4*5|4,5,70,5
|5,0,0,66
1|5,19,9,45
2|5,12,9,49
1*2|5,18,18,31
3|5,0,9,44
1*3|5,14,18,27
2*3|5,4,18,27
1*2*3|5,13,30,17
4|5,54,9,43
1*4|5,5,19,26
2*4|5,5,18,29
1*2*4|5,4,30,17
3*4|5,0,19,24
1*3*4|5,2,32,13
2*3*4|5,0,31,15
1*2*3*4|5,0,44,8
5|5,0,9,43
1*5|5,10,17,24
2*5|5,0,17,32
1*2*5|5,4,27,19
3*5|5,0,18,22
1*3*5|5,1,30,12
2*3*5|5,1,29,16
1*2*3*5|5,0,38,9
4*5|5,0,17,20
1*4*5|5,13,48,11
2*4*5|5,1,26,16
3*4*5|5,91,96,9
