node,intermediate_visits,in_degree,out_degree
|1,0,0,65
1|1,18,70,45
2|1,10,47,82
1*2|1,7,76,53
3|1,10,46,87
1*3|1,5,78,55
2*3|1,19,53,99
1*2*3|1,21,68,58
4|1,4,76,42
1*4|1,20,107,50
2*4|1,4,85,49
1*2*4|1,110,96,101
3*4|1,7,90,49
1*3*4|1,14,96,52
2*3*4|1,8,81,52
1*2*3*4|1,12,70,47
5|1,3,53,81
1*5|1,16,81,51
2*5|1,21,59,100
1*2*5|1,5,72,58
3*5|1,10,56,99
1*3*5|1,5,71,55
2*3*5|1,3,53,98
1*2*3*5|1,2,51,50
4*5|1,6,88,47
1*4*5|1,79,97,98
2*4*5|1,11,85,53
1*2*4*5|1,46,70,77
3*4*5|1,11,85,51
1*3*4*5|1,5,71,47
2*3*4*5|1,4,63,46
1*2*3*4*5|1,9,46,39
|2,0,0,65
1|2,21,81,42
2|2,6,47,81
3|2,290,82,44
4|2,64,115,33
3*4|2,37,117,29
5|2,1,53,81
2*5|2,11,59,98
|3,0,0,65
1|3,23,70,45
2|3,6,47,83
1*2|3,11,76,53
3|3,4,46,87
1*3|3,8,78,54
2*3|3,6,53,100
1*2*3|3,2,68,58
4|3,13,77,42
1*4|3,134,106,102
2*4|3,9,112,49
1*2*4|3,66,73,101
3*4|3,0,90,50
1*3*4|3,9,96,52
2*3*4|3,2,81,53
1*2*3*4|3,8,70,47
5|3,16,53,81
1*5|3,93,81,98
2*5|3,24,59,100
3*5|3,10,56,53
1*3*5|3,20,71,56
2*3*5|3,10,53,62
4*5|3,17,95,47
1*4*5|3,66,97,97
3*4*5|3,16,85,51
1*3*4*5|3,4,71,46
|4,0,0,65
1|4,14,70,44
2|4,10,49,83
1*2|4,11,81,53
3|4,6,46,87
1*3|4,2,78,54
2*3|4,0,53,99
1*2*3|4,7,70,58
4|4,4,77,42
1*4|4,95,106,102
2*4|4,21,95,49
1*2*4|4,82,95,101
3*4|4,15,89,50
1*3*4|4,8,96,52
2*3*4|4,2,83,53
1*2*3*4|4,8,70,47
5|4,9,59,81
1*5|4,58,81,98
3*5|4,27,61,98
1*3*5|4,45,71,99
4*5|4,87,93,97
1*4*5|4,23,97,96
3*4*5|4,99,84,97
1*3*4*5|4,77,71,77
|5,0,0,65
1|5,17,70,44
2|5,45,59,84
1*2|5,168,81,103
3|5,8,46,87
1*3|5,8,78,54
2*3|5,3,53,101
1*2*3|5,2,69,58
4|5,11,76,42
1*4|5,92,109,101
2*4|5,226,94,102
1*2*4|5,45,97,101
3*4|5,7,90,50
1*3*4|5,7,96,52
2*3*4|5,2,82,53
1*2*3*4|5,4,70,47
5|5,0,53,81
1*5|5,36,81,99
2*5|5,1,20,100
1*2*5|5,26,27,100
3*5|5,8,56,98
1*3*5|5,31,71,99
2*3*5|5,24,53,100
1*2*3*5|5,25,47,82
4*5|5,61,87,98
1*4*5|5,25,94,97
2*4*5|5,42,30,100
3*4*5|5,416,97,98
