node,intermediate_visits,in_degree,out_degree
|1,0,0,65
1|1,19,70,45
2|1,12,47,82
1*2|1,30,76,53
3|1,12,46,87
1*3|1,10,78,55
2*3|1,5,53,99
1*2*3|1,22,68,58
4|1,4,76,42
1*4|1,25,107,50
2*4|1,5,85,49
1*2*4|1,172,96,101
3*4|1,11,90,49
1*3*4|1,21,96,52
2*3*4|1,9,81,52
1*2*3*4|1,21,70,47
5|1,5,53,81
1*5|1,13,81,51
2*5|1,29,59,100
1*2*5|1,12,72,58
3*5|1,3,56,99
1*3*5|1,7,71,55
2*3*5|1,3,53,98
1*2*3*5|1,1,51,50
4*5|1,4,88,47
1*4*5|1,127,97,98
2*4*5|1,5,85,53
1*2*4*5|1,69,70,77
3*4*5|1,9,85,51
1*3*4*5|1,12,71,47
2*3*4*5|1,3,63,46
1*2*3*4*5|1,10,46,39
|2,0,0,65
1|2,20,81,42
2|2,7,47,81
3|2,101,82,44
4|2,17,115,33
3*4|2,19,117,29
5|2,1,53,81
2*5|2,11,59,98
|3,0,0,65
1|3,19,70,45
2|3,10,47,83
1*2|3,14,76,53
3|3,4,46,87
1*3|3,16,78,54
2*3|3,6,53,100
1*2*3|3,2,68,58
4|3,10,77,42
1*4|3,129,106,102
2*4|3,15,112,49
1*2*4|3,84,73,101
3*4|3,0,90,50
1*3*4|3,21,96,52
2*3*4|3,2,81,53
1*2*3*4|3,17,70,47
5|3,24,53,81
1*5|3,124,81,98
2*5|3,18,59,100
3*5|3,1,56,53
1*3*5|3,28,71,56
2*3*5|3,9,53,62
4*5|3,10,95,47
1*4*5|3,102,97,97
3*4*5|3,25,85,51
1*3*4*5|3,10,71,46
|4,0,0,65
1|4,14,70,44
2|4,14,49,83
1*2|4,13,81,53
3|4,18,46,87
1*3|4,4,78,54
2*3|4,0,53,99
1*2*3|4,12,70,58
4|4,4,77,42
1*4|4,79,106,102
2*4|4,24,95,49
1*2*4|4,100,95,101
3*4|4,16,89,50
1*3*4|4,22,96,52
2*3*4|4,9,83,53
1*2*3*4|4,18,70,47
5|4,9,59,81
1*5|4,51,81,98
3*5|4,21,61,98
1*3*5|4,46,71,99
4*5|4,73,93,97
1*4*5|4,36,97,96
3*4*5|4,110,84,97
1*3*4*5|4,62,71,77
|5,0,0,65
1|5,16,70,44
2|5,38,59,84
1*2|5,146,81,103
3|5,10,46,87
1*3|5,8,78,54
2*3|5,3,53,101
1*2*3|5,3,69,58
4|5,7,76,42
1*4|5,90,109,101
2*4|5,177,94,102
1*2*4|5,58,97,101
3*4|5,5,90,50
1*3*4|5,17,96,52
2*3*4|5,5,82,53
1*2*3*4|5,9,70,47
5|5,0,53,81
1*5|5,39,81,99
2*5|5,1,20,100
1*2*5|5,18,27,100
3*5|5,9,56,98
1*3*5|5,38,71,99
2*3*5|5,27,53,100
1*2*3*5|5,28,47,82
4*5|5,42,87,98
1*4*5|5,38,94,97
2*4*5|5,37,30,100
3*4*5|5,377,97,98
