node,intermediate_visits,in_degree,out_degree
|1,0,0,109
1|1,1,79,57
2|1,3,58,110
1*2|1,8,79,59
3|1,21,59,108
1*3|1,1,80,57
2*3|1,0,59,108
1*2*3|1,5,80,59
4|1,0,92,52
1*4|1,17,113,52
2*4|1,8,92,53
1*2*4|1,143,113,112
3*4|1,9,94,51
1*3*4|1,14,115,52
2*3*4|1,4,94,53
1*2*3*4|1,17,115,53
5|1,0,60,108
1*5|1,1,81,56
2*5|1,8,60,112
1*2*5|1,3,81,58
3*5|1,1,61,108
1*3*5|1,4,82,57
2*3*5|1,0,61,110
1*2*3*5|1,4,82,58
4*5|1,0,94,52
1*4*5|1,79,115,110
2*4*5|1,7,94,53
1*2*4*5|1,65,115,112
3*4*5|1,5,96,52
1*3*4*5|1,13,117,52
2*3*4*5|1,5,96,53
1*2*3*4*5|1,13,117,53
|2,0,0,109
1|2,71,81,55
2|2,1,58,109
3|2,302,82,55
4|2,117,115,43
3*4|2,71,117,30
5|2,0,60,108
2*5|2,0,60,110
|3,0,0,109
1|3,5,79,57
2|3,4,58,111
1*2|3,1,79,58
3|3,6,59,108
1*3|3,1,80,56
2*3|3,1,59,109
1*2*3|3,2,80,58
4|3,42,93,52
1*4|3,124,112,109
2*4|3,20,114,53
1*2*4|3,85,81,112
3*4|3,0,94,52
1*3*4|3,16,115,52
2*3*4|3,5,94,53
1*2*3*4|3,14,115,53
5|3,17,60,108
1*5|3,117,81,108
2*5|3,23,60,112
3*5|3,0,61,58
1*3*5|3,36,82,56
2*3*5|3,3,61,65
4*5|3,25,98,52
1*4*5|3,81,115,109
3*4*5|3,29,96,52
1*3*4*5|3,13,117,52
|4,0,0,109
1|4,0,79,57
2|4,4,59,111
1*2|4,17,81,58
3|4,13,59,108
1*3|4,0,80,57
2*3|4,0,59,108
1*2*3|4,28,82,58
4|4,14,93,52
1*4|4,86,112,109
2*4|4,15,95,53
1*2*4|4,85,115,112
3*4|4,0,93,52
1*3*4|4,6,115,52
2*3*4|4,16,96,53
1*2*3*4|4,18,117,53
5|4,21,60,108
1*5|4,39,81,108
3*5|4,25,61,108
1*3*5|4,46,82,108
4*5|4,51,93,108
1*4*5|4,22,115,108
3*4*5|4,116,95,108
1*3*4*5|4,67,116,109
|5,0,0,109
1|5,3,79,57
2|5,42,60,112
1*2|5,129,81,112
3|5,9,59,108
1*3|5,0,80,57
2*3|5,2,59,110
1*2*3|5,2,81,59
4|5,10,92,52
1*4|5,72,113,108
2*4|5,196,94,112
1*2*4|5,58,115,112
3*4|5,6,94,52
1*3*4|5,10,115,52
2*3*4|5,25,95,53
1*2*3*4|5,7,116,53
5|5,0,60,108
1*5|5,16,81,109
2*5|5,7,20,112
1*2*5|5,7,27,112
3*5|5,1,61,108
1*3*5|5,38,82,108
2*3*5|5,24,61,112
1*2*3*5|5,24,82,112
4*5|5,59,93,109
1*4*5|5,51,113,109
2*4*5|5,24,30,112
3*4*5|5,559,116,109
