node,intermediate_visits,in_degree,out_degree
|1,0,0,484
1|1,0,2,163
2|1,6,3,205
1*2|1,73,21,88
3|1,2,2,233
4|1,0,1,275
1*4|1,1,5,109
2*4|1,5,5,130
1*2*4|1,0,7,67
3*4|1,0,3,129
1*3*4|1,0,462,0
5|1,3,2,184
1*5|1,0,3,77
2*5|1,6,9,94
3*5|1,0,3,90
4*5|1,1,5,92
1*4*5|1,1,12,44
2*4*5|1,0,11,54
1*2*4*5|1,1,23,31
3*4*5|1,0,12,47
2*3*4*5|1,0,19,35
6|1,0,1,254
1*6|1,7,10,91
2*6|1,1,7,112
3*6|1,1,5,125
4*6|1,0,3,135
1*4*6|1,0,11,55
2*4*6|1,2,11,65
1*2*4*6|1,0,14,35
3*4*6|1,0,7,66
5*6|1,3,5,94
1*5*6|1,1,7,45
2*5*6|1,10,11,49
3*5*6|1,0,7,48
4*5*6|1,0,11,41
1*4*5*6|1,0,25,22
2*4*5*6|1,0,24,24
1*2*4*5*6|1,1,46,16
3*4*5*6|1,0,25,22
2*3*4*5*6|1,0,40,17
7|1,0,1,299
1*7|1,2,5,104
4*7|1,0,3,146
1*4*7|1,2,11,62
2*4*7|1,1,9,71
1*2*4*7|1,0,13,40
3*4*7|1,0,6,74
5*7|1,6,5,107
1*5*7|1,0,7,48
3*5*7|1,0,8,54
4*5*7|1,26,30,41
6*7|1,0,3,165
4*6*7|1,0,7,74
1*4*6*7|1,1,22,31
2*4*6*7|1,0,19,38
1*2*4*6*7|1,0,25,21
3*4*6*7|1,0,13,40
5*6*7|1,0,7,57
1*5*6*7|1,1,14,29
2*5*6*7|1,8,18,32
3*5*6*7|1,0,13,29
4*5*6*7|1,6,60,18
8|1,0,2,208
1*8|1,4,8,76
2*8|1,2,8,95
1*2*8|1,88,62,45
3*8|1,1,5,105
4*8|1,1,5,124
1*4*8|1,2,17,56
2*4*8|1,4,17,64
1*2*4*8|1,0,23,37
3*4*8|1,1,11,59
5*8|1,0,4,81
1*5*8|1,0,10,37
2*5*8|1,3,15,45
3*5*8|1,0,10,41
4*5*8|1,0,9,47
1*4*5*8|1,0,20,25
2*4*5*8|1,0,19,29
1*2*4*5*8|1,0,38,18
3*4*5*8|1,0,20,23
2*3*4*5*8|1,0,32,18
6*8|1,1,5,102
1*6*8|1,5,17,38
2*6*8|1,13,29,48
3*6*8|1,0,11,54
4*6*8|1,2,11,57
1*4*6*8|1,0,35,25
2*4*6*8|1,0,35,30
1*2*4*6*8|1,1,44,17
3*4*6*8|1,0,23,29
5*6*8|1,0,9,38
1*5*6*8|1,0,21,19
2*5*6*8|1,6,32,21
3*5*6*8|1,0,21,20
4*5*6*8|1,0,19,20
1*4*5*6*8|1,0,41,11
2*4*5*6*8|1,0,40,12
1*2*4*5*6*8|1,0,75,8
3*4*5*6*8|1,1,65,10
7*8|1,0,3,123
1*7*8|1,14,19,49
2*7*8|1,3,15,59
3*7*8|1,2,11,64
4*7*8|1,0,7,66
1*4*7*8|1,0,15,34
2*4*7*8|1,1,21,34
1*2*4*7*8|1,0,28,23
3*4*7*8|1,0,14,33
5*7*8|1,7,26,42
1*5*7*8|1,0,29,23
4*5*7*8|1,8,62,20
6*7*8|1,3,12,63
1*6*7*8|1,2,37,24
3*6*7*8|1,0,22,35
4*6*7*8|1,6,28,30
1*4*6*7*8|1,0,30,14
2*4*6*7*8|1,0,41,16
1*2*4*6*7*8|1,0,53,10
5*6*7*8|1,4,55,20
1*5*6*7*8|1,0,45,11
4*5*6*7*8|1,4,176,8
9|1,2,2,207
1*9|1,125,16,62
2*9|1,4,6,81
1*2*9|1,8,31,31
3*9|1,0,4,90
4*9|1,0,3,125
1*4*9|1,1,11,42
2*4*9|1,5,16,48
1*2*4*9|1,12,45,20
3*4*9|1,3,11,51
5*9|1,9,5,103
2*5*9|1,4,14,46
3*5*9|1,0,10,43
4*5*9|1,1,12,54
1*4*5*9|1,30,36,20
2*4*5*9|1,4,40,26
1*2*4*5*9|1,2,75,11
3*4*5*9|1,0,26,24
6*9|1,0,5,112
1*6*9|1,17,31,35
2*6*9|1,0,13,44
3*6*9|1,0,9,52
4*6*9|1,0,7,62
1*4*6*9|1,1,22,21
2*4*6*9|1,2,33,23
1*2*4*6*9|1,8,85,11
3*4*6*9|1,0,23,28
5*6*9|1,1,11,49
2*5*6*9|1,1,30,21
3*5*6*9|1,0,21,21
4*5*6*9|1,0,25,23
1*4*5*6*9|1,0,51,10
2*4*5*6*9|1,1,82,10
1*2*4*5*6*9|1,3,146,6
3*4*5*6*9|1,0,53,11
4*7*9|1,0,6,79
1*4*7*9|1,0,19,25
1*2*4*7*9|1,6,78,13
4*5*7*9|1,0,13,29
1*4*5*7*9|1,4,53,11
2*4*5*7*9|1,1,63,14
1*2*4*5*7*9|1,2,127,6
3*4*5*7*9|1,0,24,13
4*6*7*9|1,0,13,41
1*4*6*7*9|1,0,37,12
1*2*4*6*7*9|1,6,147,7
4*5*6*7*9|1,0,48,12
1*4*5*6*7*9|1,0,92,5
2*4*5*6*7*9|1,1,128,6
1*2*4*5*6*7*9|1,0,245,3
3*4*5*6*7*9|1,0,90,6
8*9|1,5,9,94
1*8*9|1,3,28,33
2*8*9|1,2,24,41
1*2*8*9|1,18,100,19
3*8*9|1,1,17,41
4*8*9|1,0,11,61
1*4*8*9|1,8,36,25
2*4*8*9|1,1,35,28
3*4*8*9|1,0,23,24
5*8*9|1,0,10,47
1*5*8*9|1,14,52,18
2*5*8*9|1,5,46,23
3*5*8*9|1,0,22,21
4*5*8*9|1,0,20,28
1*4*5*8*9|1,13,60,13
2*4*5*8*9|1,1,65,15
3*4*5*8*9|1,0,42,12
6*8*9|1,0,18,48
1*6*8*9|1,0,52,16
2*6*8*9|1,1,47,21
3*6*8*9|1,0,34,25
4*6*8*9|1,0,23,29
1*4*6*8*9|1,8,70,11
2*4*6*8*9|1,0,71,13
3*4*6*8*9|1,1,47,14
5*6*8*9|1,2,35,21
1*5*6*8*9|1,7,99,9
2*5*6*8*9|1,1,94,10
3*5*6*8*9|1,0,45,11
4*5*6*8*9|1,0,41,12
1*4*5*6*8*9|1,0,83,6
2*4*5*6*8*9|1,1,131,6
3*4*5*6*8*9|1,0,85,6
4*7*8*9|1,0,13,37
1*4*7*8*9|1,5,39,15
2*4*7*8*9|1,1,62,16
3*4*7*8*9|1,1,43,14
5*7*8*9|1,0,18,30
3*5*7*8*9|1,0,34,13
4*5*7*8*9|1,0,42,14
1*4*5*7*8*9|1,0,53,7
2*4*5*7*8*9|1,0,109,7
3*4*5*7*8*9|1,0,77,6
4*6*7*8*9|1,0,45,18
1*4*6*7*8*9|1,7,127,6
2*4*6*7*8*9|1,1,119,8
3*4*6*7*8*9|1,0,83,9
3*5*6*7*8*9|1,0,68,7
4*5*6*7*8*9|1,0,81,6
1*4*5*6*7*8*9|1,0,153,3
2*4*5*6*7*8*9|1,0,213,3
3*4*5*6*7*8*9|1,0,149,3
10|1,0,1,334
1*10|1,3,5,115
2*10|1,12,8,144
1*2*10|1,53,40,62
3*10|1,0,3,159
4*10|1,0,3,189
1*4*10|1,3,11,76
2*4*10|1,2,11,92
1*2*4*10|1,0,15,47
3*4*10|1,0,7,89
1*5*10|1,0,6,59
3*5*10|1,0,6,72
6*10|1,0,3,177
1*6*10|1,2,11,67
2*6*10|1,7,17,78
3*6*10|1,0,7,86
4*6*10|1,0,7,95
1*4*6*10|1,1,23,41
2*4*6*10|1,2,23,46
1*2*4*6*10|1,0,29,26
3*4*6*10|1,0,15,46
1*5*6*10|1,0,13,36
2*5*6*10|1,5,20,40
3*5*6*10|1,0,13,39
7*10|1,0,3,187
1*7*10|1,0,11,66
3*7*10|1,0,6,94
4*7*10|1,0,7,86
1*4*7*10|1,8,25,39
2*4*7*10|1,1,20,43
1*2*4*7*10|1,11,45,24
3*4*7*10|1,0,14,46
5*7*10|1,7,15,79
1*5*7*10|1,0,14,36
4*5*7*10|1,34,89,32
6*7*10|1,0,7,105
1*6*7*10|1,2,22,41
3*6*7*10|1,0,13,53
4*6*7*10|1,0,15,46
1*4*6*7*10|1,0,30,22
2*4*6*7*10|1,0,41,24
1*2*4*6*7*10|1,1,52,14
3*4*6*7*10|1,0,29,26
5*6*7*10|1,0,13,43
1*5*6*7*10|1,0,28,21
2*5*6*7*10|1,5,35,24
3*5*6*7*10|1,0,26,22
4*5*6*7*10|1,5,108,16
7*8*10|1,0,6,94
4*7*8*10|1,0,13,45
2*4*7*8*10|1,0,36,24
3*4*7*8*10|1,0,25,23
4*6*7*8*10|1,1,48,22
1*4*6*7*8*10|1,0,50,11
2*4*6*7*8*10|1,0,69,12
1*2*4*6*7*8*10|1,0,87,8
9*10|1,2,5,157
1*9*10|1,2,17,48
2*9*10|1,2,14,66
1*2*9*10|1,15,63,25
3*9*10|1,0,10,69
4*9*10|1,0,7,97
1*4*9*10|1,0,23,33
2*4*9*10|1,1,23,42
3*4*9*10|1,0,15,42
5*9*10|1,4,10,87
1*5*9*10|1,10,31,27
2*5*9*10|1,2,27,42
3*5*9*10|1,0,20,38
6*9*10|1,4,11,83
1*6*9*10|1,1,32,28
2*6*9*10|1,2,29,33
3*6*9*10|1,0,21,38
4*6*9*10|1,0,15,49
1*4*6*9*10|1,0,45,18
2*4*6*9*10|1,4,72,19
3*4*6*9*10|1,0,31,22
5*6*9*10|1,1,21,43
1*5*6*9*10|1,4,60,16
2*5*6*9*10|1,1,59,18
3*5*6*9*10|1,0,42,19
4*7*9*10|1,0,13,56
1*4*7*9*10|1,0,39,18
2*4*7*9*10|1,2,36,25
3*4*7*9*10|1,0,25,24
4*5*7*9*10|1,0,24,26
1*4*5*7*9*10|1,2,80,9
3*4*5*7*9*10|1,0,45,12
4*6*7*9*10|1,0,27,30
1*4*6*7*9*10|1,1,76,10
3*4*6*7*9*10|1,0,51,14
4*7*8*9*10|1,0,23,29
1*4*7*8*9*10|1,2,66,12
11|1,0,1,211
2*11|1,5,8,98
1*2*11|1,1,16,52
3*11|1,0,3,94
4*11|1,0,3,115
2*4*11|1,1,11,60
1*2*4*11|1,0,13,36
3*4*11|1,0,7,52
5*11|1,136,47,54
6*11|1,0,3,115
2*6*11|1,2,16,56
3*6*11|1,2,12,56
4*6*11|1,0,7,57
2*4*6*11|1,0,23,30
1*2*4*6*11|1,1,25,19
3*4*6*11|1,0,15,29
5*6*11|1,9,45,24
4*5*6*11|1,1,91,8
7*11|1,0,3,140
3*7*11|1,0,6,63
4*7*11|1,0,7,65
2*4*7*11|1,0,13,36
1*2*4*7*11|1,0,23,25
3*4*7*11|1,0,14,31
2*3*4*7*11|1,0,21,23
5*7*11|1,19,47,40
6*7*11|1,0,7,83
4*6*7*11|1,0,15,35
2*4*6*7*11|1,0,27,20
1*2*4*6*7*11|1,0,44,13
3*4*6*7*11|1,0,28,19
2*3*4*6*7*11|1,0,42,14
5*6*7*11|1,2,40,19
4*5*6*7*11|1,0,94,5
8*11|1,1,5,90
2*8*11|1,1,11,45
1*2*8*11|1,30,65,24
3*8*11|1,0,7,48
4*8*11|1,0,11,47
2*4*8*11|1,0,23,27
1*2*4*8*11|1,1,43,19
3*4*8*11|1,0,15,25
5*8*11|1,18,80,24
6*8*11|1,0,11,46
2*6*8*11|1,2,35,23
3*6*8*11|1,1,23,27
4*6*8*11|1,0,23,21
2*4*6*8*11|1,0,47,12
1*2*4*6*8*11|1,3,79,8
3*4*6*8*11|1,0,46,13
5*6*8*11|1,0,72,9
4*5*6*8*11|1,1,152,3
7*8*11|1,15,13,57
2*7*8*11|1,0,19,29
4*7*8*11|1,57,61,25
5*7*8*11|1,7,92,15
6*7*8*11|1,0,15,32
2*6*7*8*11|1,0,38,16
3*6*7*8*11|1,0,27,22
4*6*7*8*11|1,17,116,12
5*6*7*8*11|1,2,132,6
4*5*6*7*8*11|1,0,277,1
9*11|1,10,10,92
2*9*11|1,5,25,41
1*2*9*11|1,0,26,20
3*9*11|1,2,18,28
4*9*11|1,2,12,51
2*4*9*11|1,20,63,23
1*2*4*9*11|1,9,79,12
3*4*9*11|1,4,43,15
5*9*11|1,83,20,39
2*5*9*11|1,0,33,25
1*2*5*9*11|1,10,50,12
3*5*9*11|1,1,50,12
4*5*9*11|1,30,45,17
1*2*4*5*9*11|1,0,127,7
3*4*5*9*11|1,0,69,7
4*6*9*11|1,0,24,25
1*2*4*6*9*11|1,0,73,7
5*6*9*11|1,11,39,14
2*5*6*9*11|1,1,65,8
3*5*6*9*11|1,0,70,5
4*5*6*9*11|1,0,146,3
1*2*4*5*6*9*11|1,0,75,4
3*4*5*6*9*11|1,1,212,2
4*5*7*9*11|1,1,71,9
1*2*4*5*7*9*11|1,2,120,4
3*4*5*7*9*11|1,0,107,4
1*2*4*5*6*7*9*11|1,0,96,2
8*9*11|1,16,35,41
2*8*9*11|1,5,56,20
1*2*8*9*11|1,0,94,10
3*8*9*11|1,1,39,15
4*8*9*11|1,9,25,24
2*4*8*9*11|1,10,129,12
3*4*8*9*11|1,2,88,8
5*8*9*11|1,0,35,17
2*5*8*9*11|1,0,60,12
1*2*5*8*9*11|1,0,92,6
3*5*8*9*11|1,1,89,7
4*5*8*9*11|1,16,78,8
3*4*5*8*9*11|1,0,121,4
4*6*8*9*11|1,6,49,11
1*2*4*6*8*9*11|1,0,239,3
5*6*8*9*11|1,6,118,5
2*5*6*8*9*11|1,0,164,3
1*2*5*6*8*9*11|1,0,164,2
4*5*6*8*9*11|1,0,305,1
4*5*7*8*9*11|1,1,200,2
3*4*5*7*8*9*11|1,0,196,1
4*5*6*7*8*9*11|1,0,484,0
10*11|1,0,3,136
2*10*11|1,10,21,66
1*2*10*11|1,6,35,37
3*10*11|1,44,28,58
4*10*11|1,0,7,70
2*4*10*11|1,0,22,39
1*2*4*10*11|1,0,27,27
6*10*11|1,0,7,74
4*6*10*11|1,0,15,34
2*4*6*10*11|1,0,43,19
1*2*4*6*10*11|1,1,50,15
7*10*11|1,0,7,86
2*7*10*11|1,1,19,43
3*7*10*11|1,0,14,38
4*7*10*11|1,9,36,35
2*4*7*10*11|1,15,61,21
5*7*10*11|1,154,141,33
6*7*10*11|1,0,15,50
2*6*7*10*11|1,2,36,26
3*6*7*10*11|1,0,27,25
4*6*7*10*11|1,9,70,19
2*4*6*7*10*11|1,0,82,12
1*2*4*6*7*10*11|1,0,96,9
5*6*7*10*11|1,6,79,15
4*5*6*7*10*11|1,0,167,4
2*8*10*11|1,2,19,34
3*8*10*11|1,0,12,32
2*4*8*10*11|1,0,38,20
3*4*8*10*11|1,0,24,17
2*4*6*8*10*11|1,0,72,9
7*8*10*11|1,0,13,41
2*7*8*10*11|1,0,36,21
3*7*8*10*11|1,0,25,20
4*7*8*10*11|1,1,62,16
2*4*7*8*10*11|1,2,104,10
6*7*8*10*11|1,0,26,23
2*6*7*8*10*11|1,0,67,12
3*6*7*8*10*11|1,0,48,14
4*6*7*8*10*11|1,24,195,8
9*10*11|1,8,21,67
2*9*10*11|1,8,54,33
1*2*9*10*11|1,0,55,16
3*9*10*11|1,0,39,20
4*9*10*11|1,6,25,36
2*4*9*10*11|1,16,127,19
1*2*4*9*10*11|1,4,133,10
3*4*9*10*11|1,5,87,11
1*2*5*9*10*11|1,0,67,11
