node,intermediate_visits,in_degree,out_degree
|1,0,0,58
1|1,2,3,31
2|1,2,3,35
1*2|1,64,32,19
3|1,2,2,41
4|1,1,1,51
1*4|1,5,7,29
2*4|1,5,5,35
1*2*4|1,62,11,25
3*4|1,2,3,34
1*3*4|1,0,349,0
5|1,5,3,41
1*5|1,1,7,26
2*5|1,11,12,29
3*5|1,1,6,29
4*5|1,6,7,31
1*4*5|1,3,16,20
2*4*5|1,3,13,24
1*2*4*5|1,23,25,16
3*4*5|1,3,14,21
2*3*4*5|1,0,16,17
6|1,2,2,46
1*6|1,3,10,24
2*6|1,7,7,28
3*6|1,2,5,32
4*6|1,2,4,41
1*4*6|1,3,13,22
2*4*6|1,4,10,27
1*2*4*6|1,9,14,18
3*4*6|1,7,7,26
5*6|1,4,7,35
1*5*6|1,2,11,20
2*5*6|1,12,18,23
3*5*6|1,6,11,24
4*5*6|1,3,13,23
1*4*5*6|1,7,22,14
2*4*5*6|1,5,22,17
1*2*4*5*6|1,5,30,11
3*4*5*6|1,2,22,14
2*3*4*5*6|1,2,22,16
7|1,1,1,51
1*7|1,5,5,43
4*7|1,0,4,40
1*4*7|1,3,12,24
2*4*7|1,2,10,29
1*2*4*7|1,33,16,19
3*4*7|1,3,7,28
5*7|1,8,9,30
1*5*7|1,5,11,21
3*5*7|1,0,12,22
4*5*7|1,49,47,17
6*7|1,4,3,66
4*6*7|1,4,7,30
1*4*6*7|1,2,17,19
2*4*6*7|1,3,14,22
1*2*4*6*7|1,4,17,14
3*4*6*7|1,2,10,21
5*6*7|1,0,10,25
1*5*6*7|1,1,15,17
2*5*6*7|1,21,17,29
3*5*6*7|1,3,14,18
4*5*6*7|1,12,68,11
8|1,3,2,42
1*8|1,9,9,19
2*8|1,3,8,24
1*2*8|1,100,49,11
3*8|1,6,5,29
4*8|1,1,5,35
1*4*8|1,12,14,41
2*4*8|1,9,13,25
1*2*4*8|1,76,17,31
3*4*8|1,2,9,24
5*8|1,2,4,61
1*5*8|1,4,9,36
2*5*8|1,9,11,41
3*5*8|1,7,8,41
4*5*8|1,4,7,45
1*4*5*8|1,8,12,26
2*4*5*8|1,3,11,32
1*2*4*5*8|1,2,15,19
3*4*5*8|1,3,12,28
2*3*4*5*8|1,0,10,23
6*8|1,3,6,31
1*6*8|1,7,16,14
2*6*8|1,21,22,17
3*6*8|1,0,10,20
4*6*8|1,7,10,26
1*4*6*8|1,3,19,15
2*4*6*8|1,10,19,19
1*2*4*6*8|1,13,18,23
3*4*6*8|1,1,14,16
5*6*8|1,0,8,20
1*5*6*8|1,5,13,12
2*5*6*8|1,11,19,13
3*5*6*8|1,3,13,13
4*5*6*8|1,4,11,30
1*4*5*6*8|1,3,17,16
2*4*5*6*8|1,2,19,20
1*2*4*5*6*8|1,0,18,13
3*4*5*6*8|1,5,25,18
7*8|1,0,3,33
1*7*8|1,95,16,18
2*7*8|1,1,11,21
3*7*8|1,5,9,24
4*7*8|1,15,6,57
1*4*7*8|1,10,10,33
2*4*7*8|1,10,13,38
